Rank,Current/Most Recent Study,Status,Study Results,Interventions,Outcome Measures,Age,Phases,Enrollment,Study Type,Study Designs,Completion Date,Locations,URL,Other Locations,Latitude,Longitude,Hospital Name,Temp Locations 2,Principal Investigator,County,ICU Beds in the County,Composite Score,Total Successful Trials,State,ICU Beds true,Normalized Composite Scores
11,Stress Index to Individualize Mechanical Ventilation in ARDS,Terminated,No Results Available,Procedure: Recruitment Maneuver with PEEP and Tidal Volume Optimization,Comparison of ARDSnet-optimized and protocol-optimized tidal volume|Comparison of ARDSnet-optimized and protocol-optimized driving pressure|Comparison of ARDSnet-optimized and protocol-optimized PEEP|Comparison of ARDSnet-optimized and protocol-optimized elastance,"18 Years and older   (Adult, Older Adult)",Not Applicable,4,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,17-Dec,"Vanderbilt University Medical Center, Nashville, Tennessee, United States",https://ClinicalTrials.gov/show/NCT02871102,,36.14092375,-86.80163418,"Vanderbilt University Medical Center, Nashville",Vanderbilt University Medical Center,,Davidson,614,0.384689218,2,Tennessee,614,69.00921291
12,ARDS in Children and ECMO Initiation Strategies Impact on Neurodevelopment (ASCEND),Recruiting,No Results Available,Device: ECMO support|Other: PROSpect protocolized therapies,Change in functional status|Change in health-related quality of life|The proportion of children with a new morbidity|All-cause mortality at hospital discharge or 90-days|Comparative change in one-year functional status|Comparative change in one-year health-related quality of life|Change in pediatric overall performance category|Change in pediatric cerebral performance category|Change in breathing support|Change in the psychosocial component of health-related quality of life|Change in the physical component of health-related quality of life|Change in child fatigue|Change in family impact of the child's health|Change in one-year functional status of children suffering a neurologic injury|Difference between groups in intracranial bleeding or ischemic stroke|Difference between groups in pneumothorax|Difference in the organ dysfunction score at 28 days|Comparative difference in the change in child fatigue|Comparative difference in the change in family impact of the child's health|Comparative difference in the change in the psychosocial component of health-related quality of life|Comparative difference in the in change in the physical component of health-related quality of life|Comparative change in respiratory support|Comparative difference in new morbidity,14 Days to 17 Years   (Child),,550,Observational,Observational Model: Cohort|Time Perspective: Prospective,26-Jun,"University of Michigan - Mott Children's Hospital, Ann Arbor, Michigan, United States",https://ClinicalTrials.gov/show/NCT05388708,,42.281891,-83.7271714,"University of Michigan - Mott Children's Hospital, Ann Arbor",University of Michigan - Mott Children's Hospital,"Ryan Barbaro, MD",Washtenaw,92,0.349973993,2,Michigan,92,58.27702309
13,Mild Hypothermia for COVID-19 ARDS,Withdrawn,No Results Available,Other: Hypothermia Via Cooling Machine- Arctic Sun 5000,Changes in metabolic requirement during and after hypothermia|Changes in oxygen requirements and levels during and after hypothermia|length of intubation|Changes in carbon dioxide levels during and after hypothermia|does application of hypothermia reduce pro inflammatory response,"18 Years to 100 Years   (Adult, Older Adult)",Not Applicable,0,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,31-Dec-20,"North Shore University Hospital, Manhasset, New York, United States",https://ClinicalTrials.gov/show/NCT04570462,,40.7752137,-73.70102797,"North Shore University Hospital, Manhasset",North Shore University Hospital,,Nassau,461,0.313666411,0,New York,461,47.05255711
14,Trial of Steroids in Pediatric Acute Lung Injury/ARDS,Unknown status,No Results Available,Drug: methylprednisolone|Drug: Normal Saline (0.9%),Duration of mechanical ventilation|Improvement in oxygenation|Incidence of nosocomial infections|Incidence of hyperglycemia,"1 Month to 18 Years   (Child, Adult)",Phase 2,100,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",14-Dec,"Le Bonheur Children's Hospital, Memphis, Tennessee, United States",https://ClinicalTrials.gov/show/NCT01274260,,35.14437035,-90.0313146,"Le Bonheur Children's Hospital, Memphis",Le Bonheur Children's Hospital,,Shelby,0,0.391387252,0,Tennessee,277,71.07990588
15,Electrical Impedance Tomography for Optimization of Positive End-Expiratory Pressure: Acute Respiratory Distress Syndrome,Completed,No Results Available,Other: Usual care|Device: PEEP titration by EIT,Change in lung inflammation as measured by physiologic parameter: Mechanical Power|Change in lung inflammation as measured by physiologic parameter: Partial pressure of arterial oxygen (PaO2)|Change in lung inflammation as measured by physiologic parameter: Partial pressure of arterial oxygen/Fraction of Inspired Oxygen (P/F ratio)|Change in lung inflammation as measured by physiologic parameter: Plateau pressure|Lung inflammation as measured by physiologic parameter: Driving Pressure|Change in lung inflammation as measured by physiologic parameter: Static compliance,"18 Years and older   (Adult, Older Adult)",Not Applicable,16,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,24-Jun-22,"The University of Michigan, Ann Arbor, Michigan, United States",https://ClinicalTrials.gov/show/NCT03793842,,42.277145,-83.7382071,"The University of Michigan, Ann Arbor",The University of Michigan,"Robert Hyzy, MD",Washtenaw,92,0.349973993,3,Michigan,92,58.27702309
16,Pilot RCT of Therapeutic Hypothermia Plus Neuromuscular Blockade in COVID-19 Patients With ARDS,Withdrawn,No Results Available,Device: Hypothermia|Drug: Neuromuscular Blocking Agents|Device: Standard of Care,Targeted temperature compliance|Adverse event|28-day ICU-free days|Survival|non neurologic Sequential Organ Failure (SOFA) scores|Oxygen saturation (SpO2)|Plateau airway pressure|Mean airway pressure|Airway driving pressure|Oxygen saturation index|Core temperature|Urine output|comprehensive metabolic panel|Complete blood count with differential count and platelet count|Biomarkers|Serum electrolytes|Blood glucose|28-day ventilator-free days,"18 Years to 65 Years   (Adult, Older Adult)",Phase 2,0,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,27-Apr-21,"University of Maryland Medical Center, Baltimore, Maryland, United States",https://ClinicalTrials.gov/show/NCT03376854,,39.28827365,-76.62439437,"University of Maryland Medical Center, Baltimore",University of Maryland Medical Center,"Jeffrey D Hasday, MD",,,,2,Maryland,,
17,Prolonged Prone Positioning for COVID-19-induced Acute Respiratory Distress Syndrome (ARDS),Completed,Has Results,Other: Prolonged Proned Positioning|Other: Traditional Proning Arm,Duration in Prone Position|Change in P:F Ratio|Change in Drive Pressure|Unplanned Extubations|Pressure Ulcers|Line Displacement|Vent Free Days|Mortality|Rescue Interventions|Tracheostomy|ICU Free Days|S:F Ratio,"18 Years to 99 Years   (Adult, Older Adult)",Not Applicable,52,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,20-Mar-21,"University of Alabama at Birmingham, Birmingham, Alabama, United States",https://ClinicalTrials.gov/show/NCT04581811,,33.5016153,-86.80604756,"University of Alabama at Birmingham, Birmingham",University of Alabama at Birmingham,,Jefferson,471,0.48493457,6,Alabama,471,100
18,A Study of GEn-1124 in Subjects With Acute Respiratory Distress Syndrome (ARDS),Recruiting,No Results Available,Drug: GEn-1124|Drug: Placebo,To assess the safety and tolerability (SAEs and TEAEs) of GEn-1124,"18 Years to 80 Years   (Adult, Older Adult)",Phase 2,52,Interventional,"Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",24-Jul,"Ocean Springs Hospital, Ocean Springs, Mississippi, United States",https://ClinicalTrials.gov/show/NCT05795465,,30.4138542,-88.78126903,"Ocean Springs Hospital, Ocean Springs",Ocean Springs Hospital,"Ritu Lal, PhD, MS",Jackson,0,0.368181424,0,Mississippi,48,63.90583885
19,Vadadustat for the Prevention and Treatment of Acute Respiratory Distress Syndrome (ARDS) in Hospitalized Patients With Coronavirus Disease 2019 (COVID-19),Completed,No Results Available,Drug: vadadustat|Drug: placebo,"Number of participants who are classified 8 (dead), 7 (hospitalized, on invasive mechanical ventilation or ECMO), or 6 (hospitalized, on non-invasive ventilation or high flow oxygen devices) on the NIAID ordinal scale|Number of participants with a total score of 0 on the Modified Sequential Organ Failure Assessment (MSOFA) scale","18 Years and older   (Adult, Older Adult)",Phase 2,449,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",7-Mar-22,"The University of Texas Health Science Center at Houston, Houston, Texas, United States",https://ClinicalTrials.gov/show/NCT04478071,,29.7029537,-95.4031995,"The University of Texas Health Science Center at Houston, Houston",The University of Texas Health Science Center at Houston,"Bentley J. Bobrow, MD",Harris,918,0.290090595,2,Texas,918,39.76410852
20,ARDSnet Protocol vs. Open Lung Approach in ARDS,Completed,No Results Available,Other: Different Mechanical Ventilation Protocols,60 day mortality|ICU mortality|Hospital mortality|28 day mortality|180 day mortality|365 day mortality|Ventilator free days|Length of ICU stay|Development of extra-pulmonary organ failures|Duration of hospitalization|Incidence of barotrauma|Systemic inflammatory mediator levels|Lung function 6 months after discharge|Lung function 12 months after discharge|Need for rescue therapy|Ventilation associated pneumonia rate,"18 Years to 80 Years   (Adult, Older Adult)",Not Applicable,224,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,13-Mar,"Massachusetts General Hospital, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT00431158,,42.36286045,-71.06875297,"Massachusetts General Hospital, Boston",Massachusetts General Hospital,"Robert M Kacmarek, Ph.D., R.R.T",Suffolk,281,0.317766372,2,Massachusetts,447,48.32005745
21,Diaphragm Ultrasound Vs Transpulmonary Pressure To Set PEEP in ARDS,Completed,Has Results,Device: Ultrasound,Feasibility,"18 Years and older   (Adult, Older Adult)",Not Applicable,14,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,16-Jul,"Hennepin County Medical Center, Minneapolis, Minnesota, United States",https://ClinicalTrials.gov/show/NCT02463773,,44.97208635,-93.26218936,"Hennepin County Medical Center, Minneapolis",Hennepin County Medical Center,"Matthew Prekker, MD",Hennepin,311,0.214906439,2,Minnesota,311,16.52097431
22,Provider Perceptions of Neuromuscular Blockade in ARDS,Completed,No Results Available,Behavioral: Interview,Barriers to adoption of NMB|Contextual factors that influence the effectiveness of NMB,"18 Years and older   (Adult, Older Adult)",,35,Observational,Observational Model: Other|Time Perspective: Cross-Sectional,18-Mar-18,"University of Pittburgh Medical Center, Pittsburgh, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT03179709,,40.4414655,-79.9948277,"University of Pittburgh Medical Center, Pittsburgh",University of Pittburgh Medical Center,"Jeremy M Kahn, MD, MS",Allegheny,580,0.350498218,1,Pennsylvania,580,58.43908692
23,Role of Vascular Endothelial Growth Factor (VEGF) in Acute Lung Injury/Adult Respiratory Distress Syndrome (ARDS),Withdrawn,No Results Available,,,"18 Years and older   (Adult, Older Adult)",,0,Observational,Observational Model: Case-Only|Time Perspective: Prospective,17-Jan,"Weill Medical College of Cornell University, New York City, New York, United States",https://ClinicalTrials.gov/show/NCT00319631,,40.76484285,-73.95476247,"Weill Medical College of Cornell University, New York City",Weill Medical College of Cornell University,"Robert J. Kaner, M.D.",New York,761,,0,New York,761,
24,Clinical Decision Support for Mechanical Ventilation of Patients With ARDS,Recruiting,No Results Available,Procedure: Implementation of Processes,LTVV Compliance|PEEP FI02 Compliance (continuous variable)|Utilization of Ventilation Protocol (continuous)|Utilization of Oxygenation Protocol (continuous)|LTVV Compliance >90% (binary)|PEEP FI02 Compliance >70% (binary)|Ventilator-Free Days (VFD) to Day 28|% of Patients who do not survive to day 28,"18 Years and older   (Adult, Older Adult)",Not Applicable,350,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research,23-Dec-22,"Intermountain Medical Center, Murray, Utah, United States",https://ClinicalTrials.gov/show/NCT03984175,,40.65952605,-111.8911944,"Intermountain Medical Center, Murray",Intermountain Medical Center,,Salt Lake,282,0.192021026,0,Utah,282,9.445963373
25,Safety and Effectiveness of Placental Derived Exosomes and Umbilical Cord Mesenchymal Stem Cells in Moderate to Severe Acute Respiratory Distress Syndrome (ARDS) Associated With the Novel Corona Virus Infection (COVID-19),Recruiting,No Results Available,Drug: EV-Pure™ and WJ-Pure™|Drug: Placebo,"To Assess the safety of EV-Pure™ and WJ-Pure™ administration in patients exhibiting moderate to severe ARDS associated with COVID-19, compared to placebo.|To assess the efficacy of EV-Pure™ and WJ-Pure™ compared to placebo, in patients with moderate to severe ARDS assoociated with COVID-19|Time to clinical improvement|Overall Survival|COVID-19 polymerase chain reaction (PCR) test result as negative","18 Years to 75 Years   (Adult, Older Adult)",Phase 1,20,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",23-Dec,"Kit Bartalos, Liberty, Missouri, United States",https://ClinicalTrials.gov/show/NCT05387278,,38.9420831,-94.3812761,"Kit Bartalos, Liberty",Kit Bartalos,,Jackson,0,0.368181424,0,Missouri,274,63.90583885
26,Effect of Randomization to Neuromuscular Blockade on Physical Functional Impairment and Recovery in ARDS,Unknown status,No Results Available,,Neuromyopathy|Muscle Function and Strength|Physical Recovery and Healthcare Utilization,"18 Years and older   (Adult, Older Adult)",,290,Observational,Observational Model: Cohort|Time Perspective: Prospective,20-Sep,"University of Washington, Seattle, Washington, United States",https://ClinicalTrials.gov/show/NCT03038906,,47.6543466,-122.3080606,"University of Washington, Seattle",University of Washington,"Catherine Hough, MD",King,450,0.211214428,2,Washington,450,15.37959145
29,Stellate Ganglion Block (SGB) for COVID-19 Acute Respiratory Distress Syndrome (ARDS),Completed,No Results Available,Procedure: Stellate Ganglion Block,Adverse events related to SGB|All Adverse events|Death|Assessment of respiratory/ pulmonary function|Radiographic criteria|Cardiac function,"18 Years to 80 Years   (Adult, Older Adult)",Not Applicable,5,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,31-Dec-20,"West Virginia University Rockefeller Neuroscience Institute, Morgantown, West Virginia, United States",https://ClinicalTrials.gov/show/NCT04402840,,39.6533542,-79.9600751,"West Virginia University Rockefeller Neuroscience Institute, Morgantown",West Virginia University Rockefeller Neuroscience Institute,"Ali R Rezai, MD",Monongalia,119,0.454995261,1,West Virginia,119,90.74428158
30,ARDS Esophageal Balloon Pressure Changes With Positioning Study,Terminated,No Results Available,Device: Esophageal balloon catheter,Change in Esophageal pressure measurements from upright to prone position|Change in Esophageal pressure measurements from upright to supine position|Change in Transmural pressure measurements from upright to prone position|Change in Transmural pressure measurements from upright to supine position|Change in Airway pressure measurements from upright to prone position|Change in Airway pressure measurements from upright to supine position,"18 Years and older   (Adult, Older Adult)",,2,Observational,Observational Model: Cohort|Time Perspective: Prospective,1-Mar-20,"University of North Carolina, Chapel Hill, Chapel Hill, North Carolina, United States",https://ClinicalTrials.gov/show/NCT03120793,,35.90503535,-79.04775327,"University of North Carolina, Chapel Hill",University of North Carolina,"Thomas Bice, MD, MS",Orange,0,0.178217076,0,North Carolina,13,5.178480972
31,Alveolar Macrophage Programming Following Endotoxin Exposure,Recruiting,No Results Available,Other: bronchoscopy with intrabronchial administration of lipopolysaccharide,"Resident alveolar macrophages and recruited macrophages will be distinguished from one another using multi-parameter flow cytometry, and the relative proportions enumerated",18 Years to 50 Years   (Adult),Not Applicable,25,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,24-Mar,"National Jewish Health, Denver, Colorado, United States",https://ClinicalTrials.gov/show/NCT03859050,,39.7392061,-104.9423725,"National Jewish Health, Denver",National Jewish Health,,,,,0,Colorado,,
32,A Strategy to Improve Implementation of LTVV for Patients w/ ARDS,Withdrawn,No Results Available,Behavioral: Multi-component LTVV implementation strategy,"LTVV rate|Difference in proportions of patients receiving LTVV between intervention and usual care groups during pre-trial period|Difference in proportions of patients receiving LTVV between intervention and usual care groups during trial period|LTVV rate in individual ICUs|Difference in overall LTVV rate between pre-trial and trial periods|Percentage of time receiving LTVV|Time from ARDS onset to LTVV initiation|Percentage of ventilator settings adherent to LTVV|ARDS duration|Proportion of clinicians using LTVV|Plateau pressure|ICU and hospital length of stay|ICU, hospital, 30-, 60-, 90-, 180-day and one year mortality|Discharge status|Ventilator duration|Intervention delivered as intended|Subgroup analyses of primary and secondary endpoints based on ARDS severity|Subgroup analyses of primary and secondary endpoints based on FiO2|Subgroup analyses of primary and secondary endpoints based on plateau pressure","18 Years and older   (Adult, Older Adult)",Not Applicable,0,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research,31-Aug-17,"Northwestern University Feinberg School of Medicine, Chicago, Illinois, United States",https://ClinicalTrials.gov/show/NCT03051139,,41.89624,-87.6195677,"Northwestern University Feinberg School of Medicine, Chicago",Northwestern University Feinberg School of Medicine,"Curtis H Weiss, MD, MS",Cook,0,0.319824519,0,Illinois,1606,48.9563323
33,Efficacy of Bevacizumab in Preventing Acute Respiratory Distress Syndrome (ARDS),Withdrawn,No Results Available,Drug: Bevacizumab|Drug: Placebo,Proportion of individuals progressing to meet RDS criteria as defined by the American- European ARDS consensus conference and as used by ARDSnet.|Ventilator-free days to Day 28|28 day all-cause mortality|Proportion of subjects progressing to acute lung injury (who do not meet the definition at randomization)|Worst PaO2/FiO2 ratio recorded following enrollment|Change in PaO2/FiO2 ratio between Day 0 to Day 3|Change from baseline in number of non-lung organ failures using the Multi-Organ Dysfunction (MOD) score and Sepsis Organ Failure Assessment (SOFA) score|Proportion of subjects surviving to hospital discharge|Vasopressor-free days|Reversal of shock if present at randomization.,"18 Years to 99 Years   (Adult, Older Adult)",Phase 2,0,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention",16-Feb,"Weill Cornell Medical College-New York Presbyterian Hospital, New York, New York, United States",https://ClinicalTrials.gov/show/NCT01314066,,40.7664886,-73.9555127,"Weill Cornell Medical College-New York Presbyterian Hospital, New York",Weill Cornell Medical College-New York Presbyterian Hospital,"Robert Kaner, MD",New York,761,,0,New York,761,
34,Direct Topical Lung T3 Treatment to Improve Outcome & Sequelae of COVID-19 Acute Respiratory Distress Syndrome,"Active, not recruiting",No Results Available,Drug: Instilled T3|Other: Placebo Therapy,Change Extravascular Lung Water Index|Length of ICU Stay|Number of Ventilator-Free Days|30-day Survival|Creatinine Concentration|Glomerular Filtration Rate|New York Heart Association (NYHA) Functional Classification,"18 Years to 80 Years   (Adult, Older Adult)",Phase 2,250,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",24-Jul,"University of Minnesota, Minneapolis, Minnesota, United States",https://ClinicalTrials.gov/show/NCT04725110,,44.9863392,-93.1794558,"University of Minnesota, Minneapolis",University of Minnesota,"Timothy P Rich, MD",Hennepin,311,0.214906439,0,Minnesota,311,16.52097431
35,"Intermediate-size Expanded Access Program (EAP), Mesenchymal Stromal Cells (MSC) for Acute Respiratory Distress Syndrome (ARDS) Due to COVID-19 Infection",No longer available,No Results Available,Drug: Remestemcel-L,,"18 Years and older   (Adult, Older Adult)",,,Expanded Access:Intermediate-size Population|Treatment IND/Protocol,,,"Mount Sinai Hospital, New York, New York, United States",https://ClinicalTrials.gov/show/NCT04366830,,40.78996445,-73.95322824,"Mount Sinai Hospital, New York",Mount Sinai Hospital,"Elizabeth Burke, ANP-C",New York,761,,1,New York,761,
36,Nitric Oxide Administration for Acute Respiratory Distress Syndrome,Completed,Has Results,Drug: Nitric Oxide|Other: No Intervention,Mean PaO2/FiO2 Ratio,"1 Month to 18 Years   (Child, Adult)",Phase 3,52,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,8-Sep,"The Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT00240487,,39.9487346,-75.193924,"The Children's Hospital of Philadelphia, Philadelphia",The Children's Hospital of Philadelphia,"Rodolfo I Godinez, MD, PhD",Philadelphia,528,0.359212402,2,Pennsylvania,528,61.13307138
